#threads iterations seconds
1 1024 0.000847
1 2048 0.001838
1 4096 0.004997
1 8192 0.012432
1 16384 0.047092
1 32768 0.156346
1 65536 0.510060
1 131072 1.485456
1 262144 3.278696

2 1024 0.001628
2 2048 0.003864
2 4096 0.009396
2 8192 0.031752
2 16384 0.101812
2 32768 0.278630
2 65536 0.723410
2 131072 1.682231
2 262144 3.616103

4 1024 0.003051
4 2048 0.006268
4 4096 0.022680
4 8192 0.060672
4 16384 0.208383
4 32768 0.533217
4 65536 1.175102
4 131072 2.668901
4 262144 5.787528

8 1024 0.008379
8 2048 0.020580
8 4096 0.069306
8 8192 0.204644
8 16384 0.509962
8 32768 1.269705
8 65536 2.681318
8 131072 5.520371
8 262144 11.889932

16 1024 0.022650
16 2048 0.068670
16 4096 0.255427
16 8192 0.519692
16 16384 1.350201
16 32768 2.722539
16 65536 5.827043
16 131072 11.758822
16 262144 26.170232

32 1024 0.087246
32 2048 0.198713
32 4096 0.567219
32 8192 1.302229
32 16384 2.757779
32 32768 6.581385
32 65536 12.361121
32 131072 26.354666
32 262144 55.083958
