#threads iterations seconds(CG) seconds(LF) seconds(LL)
1 1024 0.001142 0.001119 0.001141
1 2048 0.002976 0.002975 0.003057
1 4096 0.008238 0.009566 0.010587
1 8192 0.032084 0.036850 0.040773
1 16384 0.114642 0.129741 0.142335
1 32768 0.468495 0.551274 0.587119
1 65536 1.790691 2.019224 1.976987
1 131072 4.953807 5.584472 5.034123

2 1024 0.002465 0.002234 0.003097
2 2048 0.009112 0.007092 0.006826
2 4096 0.035237 0.021039 0.019383
2 8192 0.144777 0.084368 0.077562
2 16384 0.532139 0.441788 0.310136
2 32768 1.806662 1.084021 0.981696
2 65536 4.973493 2.910877 2.579161
2 131072 11.709222 6.866603 6.188142

4 1024 0.038703 0.005873 0.004181
4 2048 0.032286 0.023096 0.032944
4 4096 0.135468 0.056264 0.048073
4 8192 0.513402 0.205051 0.193585
4 16384 1.879072 0.742779 0.657162
4 32768 4.944664 1.975841 1.580557
4 65536 11.870465 5.636162 4.691315
4 131072 26.337864 10.932761 7.955842

6 1024 0.018045 0.012429 0.009173
6 2048 0.071601 0.067541 0.033643
6 4096 0.286200 0.207876 0.116405
6 8192 1.135379 0.499124 0.398180
6 16384 3.337934 1.532590 1.120830
6 32768 8.511327 3.482339 2.782335
6 65536 18.998993 8.162070 5.965888
6 131072 39.920497 16.802586 14.511425

8 1024 0.033073 0.020085 0.026470
8 2048 0.125664 0.060377 0.055845
8 4096 0.550695 0.216922 0.200418
8 8192 1.769461 0.728124 0.714239
8 16384 5.100550 2.324101 1.712071
8 32768 11.813904 4.868269 4.031324
8 65536 25.562396 10.734809 7.944768
8 131072 56.086179 26.293846 17.138512

12 1024 0.067961 0.033184 0.034939
12 2048 0.278933 0.142973 0.110596
12 4096 1.168709 0.448614 0.370925
12 8192 3.499050 1.485469 1.201838
12 16384 8.663592 3.456451 2.724098
12 32768 18.779757 7.516520 6.974038
12 65536 40.398562 16.245524 12.643107
12 131072 83.683598 34.049786 25.357188

16 1024 0.128626 0.089517 0.061399
16 2048 0.551436 0.276747 0.231231
16 4096 1.963513 0.722364 0.753047
16 8192 5.249319 2.508372 1.608582
16 16384 11.948987 5.182227 3.739452
16 32768 25.831696 12.379694 7.942640
16 65536 53.157708 21.070458 16.470522
16 131072 108.792476 45.279612 34.860862

20 1024 0.216678 0.127168 0.089939
20 2048 0.822561 0.439528 0.363209
20 4096 2.726688 1.023720 0.948342
20 8192 6.772531 2.814537 2.054228
20 16384 14.993666 5.637930 4.927688
20 32768 32.141564 12.352552 9.719922
20 65536 67.146489 27.233505 21.516855
20 131072 138.806396 58.675128 42.874895

24 1024 0.273222 0.167209 0.113230
24 2048 1.146268 0.548538 0.365235
24 4096 3.413576 1.494824 1.064987
24 8192 8.437380 3.323720 2.597245
24 16384 18.596485 7.349928 5.933114
24 32768 39.046250 16.350070 11.858293
24 65536 80.121641 32.172180 23.943019
24 131072 167.009521 66.572653 51.064138

28 1024 0.389438 0.191896 0.152284
28 2048 1.406572 0.617787 0.531947
28 4096 4.222960 1.955238 1.303957
28 8192 10.108894 4.613628 3.162688
28 16384 21.751002 8.669212 6.841037
28 32768 46.140771 19.108353 14.485936
28 65536 95.784497 36.598290 28.375778
28 131072 194.092163 69.471527 52.942669

32 1024 0.499352 0.200189 0.161805
32 2048 1.702827 0.663280 0.524341
32 4096 4.794675 1.868081 1.379182
32 8192 11.107025 4.052508 3.304541
32 16384 24.137800 9.132184 7.179210
32 32768 50.644149 18.998156 14.363247
32 65536 103.765106 40.496308 33.186870
32 131072 228.697465 93.259106 70.364003

