#buckets threads seconds(CG) seconds(LF) seconds(LL)
1 65536 1.821483 2.128394 1.857848
2 65536 5.061878 3.035518 2.617388
4 65536 11.917417 4.972476 4.193905
6 65536 18.604396 7.748938 5.985195
8 65536 25.347950 10.768889 8.081628
12 65536 39.190009 15.971253 12.795510
16 65536 53.336007 22.258219 17.218616
20 65536 70.108916 25.580922 20.251271
24 65536 88.280790 38.400247 28.964070
28 65536 97.676288 46.875478 34.176950
32 65536 110.595852 51.206017 36.999186

1 65536 0.836304 1.031772 0.889488
2 65536 2.379591 1.609031 1.269334
4 65536 5.013668 2.465562 2.105526
6 65536 7.462885 4.036504 3.041609
8 65536 9.863528 5.662981 4.230181
12 65536 14.411088 8.436149 6.815908
16 65536 18.770703 11.580241 9.054715
20 65536 24.336948 18.329767 14.116680
24 65536 32.994216 22.532972 14.054009
28 65536 32.273932 21.178198 17.338221
32 65536 41.918225 25.938851 27.879228

1 65536 0.723980 0.794717 0.540165
2 65536 1.299997 0.773292 0.683695
4 65536 2.605897 1.661217 1.452001
6 65536 3.534000 2.216544 1.977481
8 65536 4.205286 2.973896 3.239884
12 65536 6.986194 5.700680 4.593683
16 65536 9.453424 7.042884 5.169176
20 65536 10.015419 8.522039 10.070680
24 65536 11.633181 10.506476 7.288432
28 65536 13.283590 13.585697 8.777188
32 65536 14.674926 19.036452 13.164555

1 65536 0.251289 0.278387 0.253388
2 65536 0.639322 0.431341 0.383532
4 65536 1.226362 0.728943 0.637155
6 65536 1.787018 1.114704 0.952902
8 65536 1.780725 1.684200 1.339736
12 65536 2.738887 3.545844 3.648792
16 65536 3.819822 4.028526 3.069760
20 65536 4.788689 4.782158 3.611969
24 65536 4.808095 5.325664 4.269012
28 65536 5.687709 7.584531 5.702548
32 65536 7.149650 9.047217 8.689180

1 65536 0.168346 0.210820 0.160872
2 65536 0.371729 0.246047 0.242101
4 65536 0.627350 0.511478 0.618176
6 65536 0.875234 1.179483 0.945356
8 65536 1.606746 1.001180 0.856935
12 65536 1.333972 1.668152 1.613916
16 65536 2.132595 2.576537 1.757292
20 65536 2.317446 2.775795 2.176503
24 65536 2.971906 3.110457 2.786790
28 65536 3.133061 5.351929 4.037335
32 65536 4.399405 4.586958 3.772570

1 65536 0.113343 0.132564 0.152001
2 65536 0.293183 0.194213 0.150890
4 65536 0.341751 0.353890 0.305570
6 65536 0.507837 0.561086 0.452523
8 65536 0.622390 0.762713 0.611179
12 65536 0.979942 1.023989 0.917054
16 65536 1.335685 1.484436 1.228585
20 65536 1.524792 1.759491 1.512432
24 65536 1.850418 2.090901 1.939571
28 65536 2.246433 2.705077 2.351704
32 65536 2.795432 2.781575 2.434962

1 65536 0.078788 0.090900 0.082993
2 65536 0.152395 0.127026 0.140698
4 65536 0.283441 0.228312 0.223335
6 65536 0.350319 0.419891 0.545805
8 65536 0.570289 0.532402 0.533417
12 65536 0.720131 0.803490 1.182417
16 65536 1.140544 1.281463 0.979416
20 65536 1.202695 1.380812 1.248048
24 65536 1.433871 1.574214 1.434797
28 65536 1.691712 1.884524 2.076906
32 65536 2.396533 2.496819 2.289872

1 65536 0.161284 0.117991 0.140018
2 65536 0.168505 0.153394 0.173975
4 65536 0.320070 0.282076 0.275478
6 65536 0.611481 0.487063 0.641210
8 65536 0.670928 0.879469 0.700301
12 65536 1.104112 1.278354 0.925591
16 65536 1.125427 0.948500 0.872486
20 65536 1.203334 1.418964 1.276729
24 65536 1.430752 1.501603 1.503088
28 65536 1.549121 1.592004 1.502675
32 65536 1.646815 1.748683 1.760584

1 65536 0.098834 0.083250 0.094045
2 65536 0.105304 0.087254 0.106111
4 65536 0.173680 0.192549 0.195498
6 65536 0.280729 0.288830 0.371033
8 65536 0.406985 0.415766 0.424123
12 65536 0.581582 0.603935 0.619117
16 65536 0.742094 0.816328 0.766617
20 65536 0.961234 0.988721 0.964521
24 65536 1.141391 1.193387 1.188256
28 65536 1.416740 1.365307 1.408881
32 65536 1.562701 1.690971 1.581858

1 65536 0.065880 0.064159 0.068108
2 65536 0.082833 0.095344 0.089396
4 65536 0.174888 0.169320 0.211172
6 65536 0.330174 0.272160 0.284727
8 65536 0.368271 0.361281 0.398284
12 65536 0.547197 0.546583 0.579417
16 65536 0.722788 0.750604 0.739611
20 65536 0.910119 0.945990 0.983868
24 65536 1.124089 1.135600 1.196892
28 65536 1.309095 1.406768 1.328633
32 65536 1.436442 1.516784 1.560551

1 65536 0.077678 0.059967 0.060136
2 65536 0.090007 0.095342 0.102319
4 65536 0.178641 0.174353 0.168369
6 65536 0.268400 0.274596 0.338628
8 65536 0.388114 0.397838 0.401156
12 65536 0.587305 0.551706 0.570126
16 65536 0.769359 0.739743 0.775847
20 65536 0.905141 0.901450 1.066503
24 65536 1.060918 1.201719 1.151061
28 65536 1.250678 1.298756 1.310300
32 65536 1.437338 1.464171 1.477562

